Policy,GridImport_kWh,GridExport_kWh,BatteryCharge_kWh,BatteryDischarge_kWh,ImportCost_GBP,ExportRevenue_GBP,NetCost_GBP,InitialSOC_kWh,FinalSOC_kWh
Policy 1,283.11,226.11,148.37,136.28,37.93,11.32,26.62,2.5,0
Policy 2,309.75,254.57,119.9,109.64,43.1,12.72,30.38,2.5,1
